Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1GT_012031_20181007_20181007_01_RT,LC80120312018280LGN00,2018/10/07,RT,1, 012, 031, 012, 031,NADIR,-.001,2018/10/07,2018:280:15:26:38.2139970,2018:280:15:27:09.9839960,LGN,DAY,92.37,89.78,-1,4,0,0,0,9,LPGS_13.1.0,40.25148196,158.21411052,PRELIMINARY,OLI_TIRS_L1GT,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20181007151507_20181007161032.01,LT8BPF20181006235549_20181007000426.01,LC08CPF_20181001_20181231_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'33.88"N,71°19'00.44"W,42°48'54.83"N,72°09'59.04"W,42°24'01.15"N,69°54'17.89"W,41°06'01.26"N,72°42'09.14"W,40°41'17.30"N,70°30'00.18"W,41.75941,-71.31679,42.81523,-72.1664,42.40032,-69.90497,41.10035,-72.70254,40.68814,-70.50005,LC08_L1GT_012031_20181007_20181007_01_RT,LC80120312018280LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312018280LGN00
LC08_L1TP_012031_20180921_20180928_01_T1,LC80120312018264LGN00,2018/09/21,T1,1, 012, 031, 012, 031,NADIR,-.001,2018/09/28,2018:264:15:26:29.8992120,2018:264:15:27:01.6692110,LGN,DAY,49.45,30.19,329,4,7.461,5.406,5.142,9,LPGS_13.1.0,45.75944106,153.91507692,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15801,8011,7901,8011,7901,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20180921151347_20180921160048.01,LT8BPF20180910115011_20180925122426.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,41°45'33.91"N,71°17'59.17"W,42°48'55.12"N,72°08'57.12"W,42°24'01.30"N,69°53'16.84"W,41°06'01.40"N,72°41'07.66"W,40°41'17.34"N,70°28'59.52"W,41.75942,-71.29977,42.81531,-72.1492,42.40036,-69.88801,41.10039,-72.68546,40.68815,-70.4832,LC08_L1TP_012031_20180921_20180928_01_T1,LC80120312018264LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312018264LGN00
LC08_L1TP_012031_20180905_20180912_01_T1,LC80120312018248LGN00,2018/09/05,T1,1, 012, 031, 012, 031,NADIR,-.001,2018/09/12,2018:248:15:26:25.6225490,2018:248:15:26:57.3925480,LGN,DAY,10.21,7.89,546,4,6.947,4.571,5.231,9,LPGS_13.1.0,50.9545983,148.60589889,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20180905151056_20180905155908.01,LT8BPF20180827051943_20180910114155.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,41°45'35.10"N,71°18'14.33"W,42°48'56.41"N,72°09'11.41"W,42°24'02.59"N,69°53'32.28"W,41°06'02.41"N,72°41'22.42"W,40°41'18.31"N,70°29'15.43"W,41.75975,-71.30398,42.81567,-72.15317,42.40072,-69.8923,41.10067,-72.68956,40.68842,-70.48762,LC08_L1TP_012031_20180905_20180912_01_T1,LC80120312018248LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312018248LGN00
LC08_L1TP_012031_20180820_20180829_01_T1,LC80120312018232LGN00,2018/08/20,T1,1, 012, 031, 012, 031,NADIR,-.001,2018/08/29,2018:232:15:26:19.4310690,2018:232:15:26:51.2010680,LGN,DAY,63.54,73.17,101,4,8.217,5.943,5.675,9,LPGS_13.1.0,55.55793685,142.77944254,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20180820150914_20180820153752.01,LT8BPF20180812105949_20180827025847.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,41°45'33.80"N,71°18'15.73"W,42°48'55.22"N,72°09'12.89"W,42°24'01.19"N,69°53'33.58"W,41°06'01.22"N,72°41'23.96"W,40°41'16.91"N,70°29'16.91"W,41.75939,-71.30437,42.81534,-72.15358,42.40033,-69.89266,41.10034,-72.68999,40.68803,-70.48803,LC08_L1TP_012031_20180820_20180829_01_T1,LC80120312018232LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312018232LGN00
LC08_L1GT_012031_20180804_20180814_01_T2,LC80120312018216LGN00,2018/08/04,T2,1, 012, 031, 012, 031,NADIR,-.001,2018/08/14,2018:216:15:26:10.8734440,2018:216:15:26:42.6434420,LGN,DAY,44.32,36.53,-1,4,0,0,0,9,LPGS_13.1.0,59.40301797,137.22102735,FINAL,OLI_TIRS_L1GT,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20180804150730_20180804153744.01,LT8BPF20180728131828_20180812101713.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,41°45'34.09"N,71°17'55.79"W,42°48'55.48"N,72°08'53.23"W,42°24'01.15"N,69°53'13.24"W,41°06'01.66"N,72°41'04.38"W,40°41'17.12"N,70°28'56.60"W,41.75947,-71.29883,42.81541,-72.14812,42.40032,-69.88701,41.10046,-72.68455,40.68809,-70.48239,LC08_L1GT_012031_20180804_20180814_01_T2,LC80120312018216LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312018216LGN00
LC08_L1TP_012031_20180719_20180731_01_T1,LC80120312018200LGN00,2018/07/19,T1,1, 012, 031, 012, 031,NADIR,-.001,2018/07/31,2018:200:15:26:02.7266010,2018:200:15:26:34.4965990,LGN,DAY,.12,.38,635,4,7.379,4.297,5.999,9,LPGS_13.1.0,62.37405492,132.90110173,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20180719150634_20180719153736.01,LT8BPF20180713103008_20180728105743.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'35.35"N,71°17'51.25"W,42°48'56.84"N,72°08'49.02"W,42°24'02.23"N,69°53'08.27"W,41°06'03.31"N,72°41'00.35"W,40°41'18.46"N,70°28'51.82"W,41.75982,-71.29757,42.81579,-72.14695,42.40062,-69.88563,41.10092,-72.68343,40.68846,-70.48106,LC08_L1TP_012031_20180719_20180731_01_T1,LC80120312018200LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312018200LGN00
LC08_L1TP_012031_20180703_20180717_01_T1,LC80120312018184LGN00,2018/07/03,T1,1, 012, 031, 012, 031,NADIR,-.001,2018/07/17,2018:184:15:25:55.5131000,2018:184:15:26:27.2830980,LGN,DAY,6.52,26.64,571,4,7.606,4.815,5.888,9,LPGS_13.1.0,64.36678957,130.8235653,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15801,8011,7901,8011,7901,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20180703150738_20180703153728.01,LT8BPF20180628211945_20180713101632.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'34.49"N,71°18'12.02"W,42°48'55.87"N,72°09'09.72"W,42°24'01.08"N,69°53'28.54"W,41°06'02.52"N,72°41'21.19"W,40°41'17.45"N,70°29'12.19"W,41.75958,-71.30334,42.81552,-72.1527,42.4003,-69.89126,41.1007,-72.68922,40.68818,-70.48672,LC08_L1TP_012031_20180703_20180717_01_T1,LC80120312018184LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312018184LGN00
LC08_L1TP_012031_20180617_20180703_01_T1,LC80120312018168LGN00,2018/06/17,T1,1, 012, 031, 012, 031,NADIR,-.001,2018/07/03,2018:168:15:25:45.9826840,2018:168:15:26:17.7526820,LGN,DAY,1.06,3.86,619,4,7.641,4.576,6.119,9,LPGS_13.1.0,65.17643729,131.51307563,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20180617150817_20180617153719.01,LT8BPF20180613103356_20180628185831.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,41°45'34.81"N,71°18'02.99"W,42°48'56.23"N,72°09'00.50"W,42°24'01.40"N,69°53'19.68"W,41°06'02.84"N,72°41'12.23"W,40°41'17.77"N,70°29'03.52"W,41.75967,-71.30083,42.81562,-72.15014,42.40039,-69.8888,41.10079,-72.68673,40.68827,-70.48431,LC08_L1TP_012031_20180617_20180703_01_T1,LC80120312018168LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312018168LGN00
LC08_L1GT_012031_20180601_20180614_01_T2,LC80120312018152LGN00,2018/06/01,T2,1, 012, 031, 012, 031,NADIR,-.001,2018/06/14,2018:152:15:25:38.1191810,2018:152:15:26:09.8891790,LGN,DAY,99.99,99.98,-1,4,0,0,0,9,LPGS_13.1.0,64.54145192,134.59236082,FINAL,OLI_TIRS_L1GT,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20180601150546_20180601153711.01,LT8BPF20180530070031_20180613095151.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,41°45'35.35"N,71°18'23.83"W,42°48'57.02"N,72°09'20.27"W,42°24'02.48"N,69°53'41.64"W,41°06'02.99"N,72°41'32.24"W,40°41'18.17"N,70°29'25.73"W,41.75982,-71.30662,42.81584,-72.15563,42.40069,-69.8949,41.10083,-72.69229,40.68838,-70.49048,LC08_L1GT_012031_20180601_20180614_01_T2,LC80120312018152LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312018152LGN00
LC08_L1TP_012031_20180516_20180604_01_T1,LC80120312018136LGN00,2018/05/16,T1,1, 012, 031, 012, 031,NADIR,-.001,2018/06/04,2018:136:15:25:50.8270310,2018:136:15:26:22.5970290,LGN,DAY,90.79,93,207,4,8.341,5.97,5.826,9,LPGS_13.1.0,62.28787941,138.80929126,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20180516132753_20180516153723.01,LT8BPF20180514113924_20180530043949.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,41°45'34.96"N,71°21'28.94"W,42°48'53.89"N,72°12'30.82"W,42°24'06.12"N,69°56'50.28"W,41°05'58.63"N,72°44'33.58"W,40°41'20.40"N,70°32'25.37"W,41.75971,-71.35804,42.81497,-72.20856,42.4017,-69.9473,41.09962,-72.74266,40.689,-70.54038,LC08_L1TP_012031_20180516_20180604_01_T1,LC80120312018136LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312018136LGN00
