Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Scan Line Corrector,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Gap Phase Source,Gap Phase Statistic,Data Type Level-1,Sensor Identifier,Ephemeris Type,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Scan Gap Interpolation,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LE07_L1TP_012031_20180929_20180929_01_RT,LE70120312018272EDC01,2018/09/29,LANDSAT_7,OFF,RT,1,BUMPER, 012, 031,2018/09/29,2018:272:15:24:28.3340000,2018:272:15:24:55.0880000,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,1,1,235,4,3.649,2.534,2.625,9,N,LPGS_13.1.0,FULL,42.8378771,155.44183483,PCD,-3.174002,ETM_L1TP,ETM,PREDICTIVE,14721,16681,7361,8341,7361,8341,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20180701_20180930_01.06,2,41°45'42.88"N,71°21'39.24"W,42°43'15.10"N,72°14'39.95"W,42°23'23.96"N,69°57'17.39"W,41°07'11.75"N,72°44'24.50"W,40°47'49.88"N,70°30'20.20"W,41.76191,-71.3609,42.72086,-72.24443,42.38999,-69.95483,41.11993,-72.74014,40.79719,-70.50561,LE07_L1TP_012031_20180929_20180929_01_RT,LE70120312018272EDC01,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312018272EDC01
LE07_L1GT_012031_20180913_20180915_01_RT,LE70120312018256EDC00,2018/09/13,LANDSAT_7,OFF,RT,1,BUMPER, 012, 031,2018/09/15,2018:256:15:24:50.6581250,2018:256:15:25:17.4121250,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,95,90,-1,-1,,,,9,N,LPGS_13.1.0,FULL,48.23475334,150.67976852,DE,-6.989757,ETM_L1GT,ETM,DEFINITIVE,14721,16681,7361,8341,7361,8341,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20180701_20180930_01.05,2,41°45'41.04"N,71°21'50.29"W,42°43'13.37"N,72°14'48.62"W,42°23'21.88"N,69°57'27.65"W,41°07'09.77"N,72°44'33.18"W,40°47'47.98"N,70°30'30.24"W,41.7614,-71.36397,42.72038,-72.24684,42.38941,-69.95768,41.11938,-72.74255,40.79666,-70.5084,LE07_L1GT_012031_20180913_20180915_01_RT,LE70120312018256EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312018256EDC00
LE07_L1TP_012031_20180828_20180923_01_T1,LE70120312018240EDC00,2018/08/28,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2018/09/23,2018:240:15:25:11.4075620,2018:240:15:25:38.1615620,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,5,4,229,4,3.418,2.342,2.489,9,N,LPGS_13.1.0,FULL,53.18029698,145.15831855,DE,-4.816325,ETM_L1TP,ETM,DEFINITIVE,14721,16681,7361,8341,7361,8341,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20180701_20180930_01.05,2,41°45'39.74"N,71°21'50.83"W,42°43'15.74"N,72°14'45.38"W,42°23'24.43"N,69°57'26.42"W,41°07'10.88"N,72°44'32.46"W,40°47'49.13"N,70°30'31.57"W,41.76104,-71.36412,42.72104,-72.24594,42.39012,-69.95734,41.11969,-72.74235,40.79698,-70.50877,LE07_L1TP_012031_20180828_20180923_01_T1,LE70120312018240EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312018240EDC00
LE07_L1TP_012031_20180812_20180907_01_T1,LE70120312018224EDC00,2018/08/12,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2018/09/07,2018:224:15:25:30.5255000,2018:224:15:25:57.2794380,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,96,92,6,4,3.681,1.919,3.141,9,N,LPGS_13.1.0,FULL,57.45077767,139.49503199,DE,11.23804,ETM_L1TP,ETM,DEFINITIVE,14781,16701,7391,8351,7391,8351,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20180701_20180930_01.04,2,41°45'38.77"N,71°21'44.03"W,42°43'15.53"N,72°14'37.72"W,42°23'24.43"N,69°57'20.09"W,41°07'09.44"N,72°44'26.70"W,40°47'47.47"N,70°30'27.32"W,41.76077,-71.36223,42.72098,-72.24381,42.39012,-69.95558,41.11929,-72.74075,40.79652,-70.50759,LE07_L1TP_012031_20180812_20180907_01_T1,LE70120312018224EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312018224EDC00
LE07_L1TP_012031_20180727_20180822_01_T1,LE70120312018208EDC00,2018/07/27,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2018/08/22,2018:208:15:25:48.2059380,2018:208:15:26:14.9598750,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,15,23,124,4,4.236,3.225,2.747,9,N,LPGS_13.1.0,FULL,60.91946929,134.58711398,DE,-10.729566,ETM_L1TP,ETM,DEFINITIVE,14721,16661,7361,8331,7361,8331,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20180701_20180930_01.04,2,41°45'38.05"N,71°21'24.77"W,42°43'07.10"N,72°14'22.52"W,42°23'15.50"N,69°57'05.04"W,41°07'02.75"N,72°44'07.91"W,40°47'40.67"N,70°30'08.57"W,41.76057,-71.35688,42.71864,-72.23959,42.38764,-69.9514,41.11743,-72.73553,40.79463,-70.50238,LE07_L1TP_012031_20180727_20180822_01_T1,LE70120312018208EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312018208EDC00
LE07_L1TP_012031_20180711_20180806_01_T1,LE70120312018192EDC00,2018/07/11,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2018/08/06,2018:192:15:26:04.3901250,2018:192:15:26:31.1440630,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,31,43,80,4,4.073,2.86,2.9,9,N,LPGS_13.1.0,FULL,63.47774091,131.45110573,DE,-10.854432,ETM_L1TP,ETM,DEFINITIVE,14741,16661,7371,8331,7371,8331,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20180701_20180930_01.03,2,41°45'38.30"N,71°20'53.59"W,42°43'03.79"N,72°13'53.33"W,42°23'11.76"N,69°56'34.37"W,41°06'59.11"N,72°43'40.80"W,40°47'36.71"N,70°29'40.02"W,41.76064,-71.34822,42.71772,-72.23148,42.3866,-69.94288,41.11642,-72.728,40.79353,-70.49445,LE07_L1TP_012031_20180711_20180806_01_T1,LE70120312018192EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312018192EDC00
LE07_L1TP_012031_20180625_20180721_01_T1,LE70120312018176EDC00,2018/06/25,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2018/07/21,2018:176:15:26:23.8557500,2018:176:15:26:50.6096870,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,36,48,63,4,4.39,3.345,2.843,9,N,LPGS_13.1.0,FULL,64.97172377,130.92910095,DE,-4.97039,ETM_L1TP,ETM,DEFINITIVE,14721,16681,7361,8341,7361,8341,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20180401_20180630_01.08,2,41°45'37.40"N,71°21'20.66"W,42°43'11.50"N,72°14'17.38"W,42°23'18.85"N,69°56'56.83"W,41°07'08.33"N,72°44'04.88"W,40°47'45.56"N,70°30'02.38"W,41.76039,-71.35574,42.71986,-72.23816,42.38857,-69.94912,41.11898,-72.73469,40.79599,-70.50066,LE07_L1TP_012031_20180625_20180721_01_T1,LE70120312018176EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312018176EDC00
LE07_L1TP_012031_20180609_20180705_01_T1,LE70120312018160EDC00,2018/06/09,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2018/07/05,2018:160:15:26:41.8301250,2018:160:15:27:08.5840620,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,62,62,160,4,4.708,3.335,3.323,9,N,LPGS_13.1.0,FULL,65.15387719,133.1307471,DE,9.718824,ETM_L1TP,ETM,DEFINITIVE,14801,16701,7401,8351,7401,8351,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20180401_20180630_01.07,2,41°45'38.41"N,71°21'32.15"W,42°43'10.52"N,72°14'30.19"W,42°23'18.13"N,69°57'08.82"W,41°07'06.49"N,72°44'18.20"W,40°47'43.26"N,70°30'15.05"W,41.76067,-71.35893,42.71959,-72.24172,42.38837,-69.95245,41.11847,-72.73839,40.79535,-70.50418,LE07_L1TP_012031_20180609_20180705_01_T1,LE70120312018160EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312018160EDC00
LE07_L1TP_012031_20180524_20180619_01_T1,LE70120312018144EDC00,2018/05/24,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2018/06/19,2018:144:15:26:57.9396870,2018:144:15:27:24.6936250,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,1,13,191,4,3.86,2.666,2.791,9,N,LPGS_13.1.0,FULL,63.75935814,137.12184195,DE,-6.243891,ETM_L1TP,ETM,DEFINITIVE,14741,16681,7371,8341,7371,8341,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20180401_20180630_01.05,2,41°45'38.05"N,71°21'19.30"W,42°43'10.99"N,72°14'16.44"W,42°23'18.71"N,69°56'56.15"W,41°07'06.17"N,72°44'04.52"W,40°47'42.90"N,70°30'02.48"W,41.76057,-71.35536,42.71972,-72.2379,42.38853,-69.94893,41.11838,-72.73459,40.79525,-70.50069,LE07_L1TP_012031_20180524_20180619_01_T1,LE70120312018144EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312018144EDC00
LE07_L1TP_012031_20180508_20180604_01_T1,LE70120312018128EDC00,2018/05/08,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2018/06/04,2018:128:15:27:12.1255625,2018:128:15:27:38.8795000,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,5,34,128,4,4.134,2.816,3.026,9,N,LPGS_13.1.0,FULL,60.71111793,141.43785019,DE,1.935371,ETM_L1TP,ETM,DEFINITIVE,14721,16661,7361,8331,7361,8331,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20180401_20180630_01.05,2,41°45'37.26"N,71°20'48.55"W,42°43'12.00"N,72°13'41.38"W,42°23'19.64"N,69°56'23.64"W,41°07'09.12"N,72°43'29.24"W,40°47'46.50"N,70°29'29.40"W,41.76035,-71.34682,42.72,-72.22816,42.38879,-69.9399,41.1192,-72.72479,40.79625,-70.4915,LE07_L1TP_012031_20180508_20180604_01_T1,LE70120312018128EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312018128EDC00
