Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Sensor Anomalies,Data Anomaly,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Data Type Level-1,Sensor Identifier,Ephemeris Type,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LT05_L1TP_166043_20020730_20180716_01_T1,LT51660432002211RSA01,2002/07/30,LANDSAT_5,T1,1,BUMPER, 166, 043,2018/07/16,2002:211:06:58:37.1116900,2002:211:06:59:03.7246900,RSA,DAY,0,0,200,4,3.943,2.977,2.585,N,,7,N,LPGS_13.1.0,FULL,60.55664223,95.67041123,TM_L1TP,TM,DEFINITIVE,6961,7811,6961,7811,UTM,38,WGS84,WGS84,30,30,LT05CPF_20020701_20020930_01.03,24°33'53.64"N,45°50'48.95"E,25°29'13.42"N,45°07'56.60"E,25°13'23.45"N,46°56'49.74"E,23°53'57.88"N,44°45'27.25"E,23°38'19.46"N,46°33'01.15"E,24.5649,45.84693,25.48706,45.13239,25.22318,46.94715,23.89941,44.75757,23.63874,46.55032,LT05_L1TP_166043_20020730_20180716_01_T1,LT51660432002211RSA01,https://earthexplorer.usgs.gov/browse-link/12266/LT51660432002211RSA01
LT05_L1TP_165043_20020723_20180704_01_T1,LT51650432002204RSA01,2002/07/23,LANDSAT_5,T1,1,BUMPER, 165, 043,2018/07/04,2002:204:06:52:37.6233800,2002:204:06:53:04.2363800,RSA,DAY,7,7,99,4,4.37,3.127,3.053,N,,7,N,LPGS_13.1.0,FULL,61.01535965,92.61294735,TM_L1TP,TM,DEFINITIVE,6911,7751,6911,7751,UTM,38,WGS84,WGS84,30,30,LT05CPF_20020701_20020930_01.03,24°33'52.31"N,47°23'13.92"E,25°29'12.05"N,46°40'21.61"E,25°13'22.12"N,48°29'14.71"E,23°53'56.54"N,46°17'52.22"E,23°38'18.13"N,48°05'26.12"E,24.56453,47.3872,25.48668,46.67267,25.22281,48.48742,23.89904,46.29784,23.63837,48.09059,LT05_L1TP_165043_20020723_20180704_01_T1,LT51650432002204RSA01,https://earthexplorer.usgs.gov/browse-link/12266/LT51650432002204RSA01
LT05_L1TP_166043_20020714_20180616_01_T1,LT51660432002195RSA00,2002/07/14,LANDSAT_5,T1,1,BUMPER, 166, 043,2018/06/16,2002:195:06:58:58.4572500,2002:195:06:59:25.0703100,RSA,DAY,0,0,201,4,4.054,2.931,2.801,N,,7,N,LPGS_13.1.0,FULL,61.5793569,89.46919147,TM_L1TP,TM,DEFINITIVE,6971,7811,6971,7811,UTM,38,WGS84,WGS84,30,30,LT05CPF_20020701_20020930_01.03,24°33'56.16"N,45°51'15.62"E,25°29'15.94"N,45°08'23.28"E,25°13'25.97"N,46°57'16.45"E,23°54'00.40"N,44°45'53.89"E,23°38'21.98"N,46°33'27.86"E,24.5656,45.85434,25.48776,45.1398,25.22388,46.95457,23.90011,44.76497,23.63944,46.55774,LT05_L1TP_166043_20020714_20180616_01_T1,LT51660432002195RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51660432002195RSA00
LT05_L1TP_166043_20020612_20180718_01_T1,LT51660432002163RSA00,2002/06/12,LANDSAT_5,T1,1,BUMPER, 166, 043,2018/07/18,2002:163:06:59:45.0664400,2002:163:07:00:11.6795000,RSA,DAY,0,0,179,4,4.476,3.275,3.051,N,,7,N,LPGS_13.1.0,FULL,63.39401819,87.00112833,TM_L1TP,TM,DEFINITIVE,6971,7821,6971,7821,UTM,38,WGS84,WGS84,30,30,LT05CPF_20020515_20020630_01.03,24°34'10.49"N,45°50'48.88"E,25°29'30.26"N,45°07'56.46"E,25°13'40.26"N,46°56'49.85"E,23°54'14.76"N,44°45'27.04"E,23°38'36.31"N,46°33'01.19"E,24.56958,45.84691,25.49174,45.13235,25.22785,46.94718,23.9041,44.75751,23.64342,46.55033,LT05_L1TP_166043_20020612_20180718_01_T1,LT51660432002163RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51660432002163RSA00
LT05_L1TP_165043_20020605_20180718_01_T1,LT51650432002156RSA00,2002/06/05,LANDSAT_5,T1,1,BUMPER, 165, 043,2018/07/18,2002:156:06:53:47.1304400,2002:156:06:54:13.7434400,RSA,DAY,0,0,146,4,10.966,10.511,3.125,N,,7,N,LPGS_13.1.0,FULL,63.636274,88.47880589,TM_L1TP,TM,DEFINITIVE,6911,7771,6911,7771,UTM,38,WGS84,WGS84,30,30,LT05CPF_20020515_20020630_01.03,24°34'05.27"N,47°22'41.38"E,25°29'25.04"N,46°39'49.00"E,25°13'35.04"N,48°28'42.28"E,23°54'09.50"N,46°17'19.57"E,23°38'31.09"N,48°04'53.65"E,24.56813,47.37816,25.49029,46.66361,25.2264,48.47841,23.90264,46.28877,23.64197,48.08157,LT05_L1TP_165043_20020605_20180718_01_T1,LT51650432002156RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51650432002156RSA00
LT05_L1TP_165043_20020418_20180715_01_T1,LT51650432002108RSA00,2002/04/18,LANDSAT_5,T1,1,SAM, 165, 043,2018/07/15,2002:108:06:54:43.4683800,2002:108:06:55:10.6259400,RSA,DAY,2,2,99,4,7.135,4.404,5.614,N,,9,N,LPGS_13.1.0,FULL,59.4695325,111.70194874,TM_L1TP,TM,DEFINITIVE,6991,7711,6991,7711,UTM,38,WGS84,WGS84,30,30,LT05CPF_20020401_20020514_01.03,24°33'57.31"N,47°24'11.88"E,25°29'17.09"N,46°41'19.54"E,25°13'27.12"N,48°30'12.71"E,23°54'01.55"N,46°18'50.15"E,23°38'23.14"N,48°06'24.12"E,24.56592,47.4033,25.48808,46.68876,25.2242,48.50353,23.90043,46.31393,23.63976,48.1067,LT05_L1TP_165043_20020418_20180715_01_T1,LT51650432002108RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51650432002108RSA00
LT05_L1TP_165043_20020402_20180902_01_T2,LT51650432002092RSA00,2002/04/02,LANDSAT_5,T2,1,SAM, 165, 043,2018/09/02,2002:092:06:55:05.4016300,2002:092:06:55:32.5566300,RSA,DAY,0,0,149,4,14.001,4.143,13.374,N,,9,N,LPGS_13.1.0,FULL,55.33839797,119.76020631,TM_L1TP,TM,DEFINITIVE,7001,7691,7001,7691,UTM,38,WGS84,WGS84,30,30,LT05CPF_20020401_20020514_01.03,24°33'58.79"N,47°23'32.68"E,25°29'18.56"N,46°40'40.33"E,25°13'28.60"N,48°29'33.50"E,23°54'03.02"N,46°18'10.94"E,23°38'24.61"N,48°05'44.92"E,24.56633,47.39241,25.48849,46.67787,25.22461,48.49264,23.90084,46.30304,23.64017,48.09581,LT05_L1TP_165043_20020402_20180902_01_T2,LT51650432002092RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51650432002092RSA00
LT05_L1TP_166043_20020324_20180901_01_T1,LT51660432002083RSA00,2002/03/24,LANDSAT_5,T1,1,SAM, 166, 043,2018/09/01,2002:083:07:01:27.1037500,2002:083:07:01:54.2576300,RSA,DAY,0,0,106,4,3.443,2.422,2.447,N,,9,N,LPGS_13.1.0,FULL,52.62815755,123.70525102,TM_L1TP,TM,DEFINITIVE,7051,7751,7051,7751,UTM,38,WGS84,WGS84,30,30,LT05CPF_20020301_20020331_01.03,24°34'14.66"N,45°50'47.94"E,25°29'34.44"N,45°07'55.49"E,25°13'44.44"N,46°56'48.95"E,23°54'18.94"N,44°45'26.06"E,23°38'40.49"N,46°33'00.25"E,24.57074,45.84665,25.4929,45.13208,25.22901,46.94693,23.90526,44.75724,23.64458,46.55007,LT05_L1TP_166043_20020324_20180901_01_T1,LT51660432002083RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51660432002083RSA00
LT05_L1TP_165043_20020317_20180901_01_T1,LT51650432002076RSA00,2002/03/17,LANDSAT_5,T1,1,SAM, 165, 043,2018/09/01,2002:076:06:55:19.9924400,2002:076:06:55:47.1463100,RSA,DAY,16,16,135,4,5.09,3.8,3.386,N,,9,N,LPGS_13.1.0,FULL,50.42118424,126.48398613,TM_L1TP,TM,DEFINITIVE,7001,7711,7001,7711,UTM,38,WGS84,WGS84,30,30,LT05CPF_20020301_20020331_01.03,24°33'49.54"N,47°24'24.26"E,25°29'09.28"N,46°41'31.96"E,25°13'19.34"N,48°30'25.02"E,23°53'53.77"N,46°19'02.60"E,23°38'15.36"N,48°06'36.47"E,24.56376,47.40674,25.48591,46.69221,25.22204,48.50695,23.89827,46.31739,23.6376,48.11013,LT05_L1TP_165043_20020317_20180901_01_T1,LT51650432002076RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51650432002076RSA00
LT05_L1TP_165043_20020301_20180901_01_T1,LT51650432002060RSA00,2002/03/01,LANDSAT_5,T1,1,SAM, 165, 043,2018/09/01,2002:060:06:55:31.2168100,2002:060:06:55:58.3675000,RSA,DAY,5,5,125,4,4.093,2.784,3.001,N,,9,N,LPGS_13.1.0,FULL,45.35847756,132.08738298,TM_L1TP,TM,DEFINITIVE,6991,7711,6991,7711,UTM,38,WGS84,WGS84,30,30,LT05CPF_20020301_20020331_01.03,24°33'34.45"N,47°25'47.32"E,25°28'54.19"N,46°42'55.08"E,25°13'04.30"N,48°31'47.93"E,23°53'38.69"N,46°20'25.80"E,23°38'00.31"N,48°07'59.45"E,24.55957,47.42981,25.48172,46.7153,25.21786,48.52998,23.89408,46.3405,23.63342,48.13318,LT05_L1TP_165043_20020301_20180901_01_T1,LT51650432002060RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51650432002060RSA00
